Category,Model name,Manufacturer,Serial number,Asset Tag,Location,Company,Status
"2.5"" HDD",500GB HDD,Western Digital,WXR1A49958RC,WXR1A49958RC,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX31A49AA3UV,WX31A49AA3UV,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,34FYT070JU1,34FYT070JU1,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWF8KTYZ2,64JFWF8KTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEG6TYZ2,64IFWEG6TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IWCSVJTYZ2,64IWCSVJTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64INCVHXTYZ2,64INCVHXTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IXCLHQTYZ2,64IXCLHQTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64INCVIUTYZ2,64INCVIUTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWF80TYZ2,64JFWF80TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JXCLXZTYZ2,64JXCLXZTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JXCLY7TYZ2,64JXCLY7TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IXCLHGTYZ2,64IXCLHGTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JXCLY8TYZ2,64JXCLY8TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IWCSVGTYZ2,64IWCSVGTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JXCLXDTYZ2,64JXCLXDTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IWCSUETYZ2,64IWCSUETYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEFUTYZ2,64IFWEFUTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IXCLGRTYZ2,64IXCLGRTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWF6VTYZ2,64JFWF6VTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWFBLTYZ2,64JFWFBLTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64LLCSGTTYZ2,64LLCSGTTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JEWAF1TYZ2,64JEWAF1TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEVETYZ2,64IFWEVETYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWFB7TYZ2,64JFWFB7TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64INCVIOTYZ2,64INCVIOTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWF9CTYZ2,64JFWF9CTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWF9WTYZ2,64JFWF9WTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JEWAFCTYZ2,64JEWAFCTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JEWAEPTYZ2,64JEWAEPTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IXCLHDTYZ2,64IXCLHDTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JXCLZ6TYZ2,64JXCLZ6TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEV0TYZ2,64IFWEV0TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEVOTYZ2,64IFWEVOTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JEWAFLTYZ2,64JEWAFLTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64F6S86USYZ2,64F6S86USYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JEWAFPTYZ2,64JEWAFPTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWFB9TYZ2,64JFWFB9TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64KOCW5LTYZ2,64KOCW5LTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEV2TYZ2,64IFWEV2TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWFC6TYZ2,64JFWFC6TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEFVTYZ2,64IFWEFVTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64F7SJ79SYZ2,64F7SJ79SYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEG4TYZ2,64IFWEG4TYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWFBOTYZ2,64JFWFBOTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEVITYZ2,64IFWEVITYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64IFWEUQTYZ2,64IFWEUQTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWFCATYZ2,64JFWFCATYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWFBNTYZ2,64JFWFBNTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWF8XTYZ2,64JFWF8XTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JFWF8TTYZ2,64JFWF8TTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Toshiba,64JRT1YTTYZ2,64JRT1YTTYZ2,CC - Bay 2,Penta Career Center,Ready to Deploy
