Category,Model name,Manufacturer,Serial number,Asset Tag,Location,Company,Status
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04S4GJ,160619RC020ACN04S4GJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04S1UJ,160619RC020ACN04S1UJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04S1TJ,160619RC020ACN04S1TJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04RNAJ,160619RC020ACN04RNAJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04NMKJ,160619RC020ACN04NMKJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04MNPJ,160619RC020ACN04MNPJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACT02R1TM,160619RC020ACT02R1TM,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACT02R7GM,160619RC020ACT02R7GM,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04M6KJ,160619RC020ACN04M6KJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04S5PJ,160619RC020ACN04S5PJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04RSVJ,160619RC020ACN04RSVJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACT02U7XM,160619RC020ACT02U7XM,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04RRRJ,160619RC020ACN04RRRJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,161007RC030ACP04MJEJ,161007RC030ACP04MJEJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04MBYJ,160619RC020ACN04MBYJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,161007RC030ACP04MH4J,161007RC030ACP04MH4J,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACT02U8KM,160619RC020ACT02U8KM,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04RKEJ,160619RC020ACN04RKEJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04RSGJ,160619RC020ACN04RSGJ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",250GB HDD,HGST,160619RC020ACN04R0LJ,160619RC020ACN04R0LJ,CC - Bay 2,Penta Career Center,Ready to Deploy
