Category,Model name,Manufacturer,Serial number,Asset Tag,Location,Company,Status
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9CWE6242,WMAM9CWE6242,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DVT6287,WMAM9DVT6287,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DAZ0356,WMAM9DAZ0356,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DVZ3354,WMAM9DVZ3354,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DVZ3560,WMAM9DVZ3560,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9CLF8370,WMAM9CLF8370,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9CLL4066,WMAM9CLL4066,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DCA7501,WMAM9DCA7501,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DZK4049,WMAM9DZK4049,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9SM13005,WMAM9SM13005,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9CWC9562,WMAM9CWC9562,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9AXH8835,WMAM9AXH8835,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9CJP3086,WMAM9CJP3086,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9ZM53218,WMAM9ZM53218,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DZ05992,WMAM9DZ05992,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9MH04355,WMAM9MH04355,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9CJT3292,WMAM9CJT3292,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9DVT5517,WMAM9DVT5517,CC - Bay 2,Penta Career Center,Ready to Deploy
"3.5"" HDD","500GB 3.5"" HDD - Western Digital",Western Digital,WMAM9Y504608,WMAM9Y504608,CC - Bay 2,Penta Career Center,Ready to Deploy
