Category,Model name,Manufacturer,Serial number,Asset Tag,Location,Company,Status
"2.5"" HDD",500GB HDD,Western Digital,WX41A64JKJRC,WX41A64JKJRC,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX51A64JA3FZ,WX51A64JA3FZ,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64C1XF6,WX41A64C1XF6,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX51A64A47CH,WX51A64A47CH,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX21E54KK084,WX21E54KK084,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX11A6468R23,WX11A6468R23,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX11E44DLR42,WX11E44DLR42,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX11A64683CV,WX11A64683CV,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64NSYV7,WX41A64NSYV7,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX11A6468KKP,WX11A6468KKP,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX31A6487A38,WX31A6487A38,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64NS1XX,WX41A64NS1XX,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A646TF4K,WX41A646TF4K,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A64NS21K,WX41A64NS21K,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX51A64JALK4,WX51A64JALK4,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX31A6487L24,WX31A6487L24,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WX41A646TEHH,WX41A646TEHH,CC - Bay 2,Penta Career Center,Ready to Deploy
"2.5"" HDD",500GB HDD,Western Digital,WXA1E54ALVT9,WXA1E54ALVT9,CC - Bay 2,Penta Career Center,Ready to Deploy
